"","PSAvC","PSAvPSO"
"(+)E1A_r60_1",0,0
"(+)E1A_r60_3",0,0
"(+)E1A_r60_a104",0,0
"(+)E1A_r60_a107",0,0
"(+)E1A_r60_a135",0,0
"(+)E1A_r60_a20",0,0
"(+)E1A_r60_a22",0,0
"(+)E1A_r60_a97",0,0
"(+)E1A_r60_n11",0,0
"(+)E1A_r60_n9",0,0
"(+)eQC-39",0,0
"(+)eQC-40",0,0
"(+)eQC-41",0,0
"(+)eQC-42",0,0
"(-)3xSLv1",0,0
"A_23_P100001",0,0
"A_23_P100011",0,0
"A_23_P100022",0,0
"A_23_P100056",0,0
"A_23_P100074",0,0
"A_23_P100092",0,0
"A_23_P100103",0,0
"A_23_P100111",0,0
"A_23_P100127",0,0
"A_23_P100133",0,0
"A_23_P100141",0,0
"A_23_P100156",0,0
"A_23_P100177",0,0
"A_23_P100189",0,0
"A_23_P100196",0,0
"A_23_P100203",0,0
"A_23_P100220",0,0
"A_23_P100240",0,0
"A_23_P10025",0,0
"A_23_P100263",0,0
"A_23_P100278",0,0
"A_23_P100292",0,0
"A_23_P100315",0,0
"A_23_P100326",0,0
"A_23_P100341",0,0
"A_23_P100344",0,0
"A_23_P100355",0,0
"A_23_P100386",0,0
"A_23_P100392",0,0
"A_23_P100408",0,0
"A_23_P100413",0,0
"A_23_P100420",0,0
"A_23_P100441",0,0
"A_23_P100455",0,0
"A_23_P100469",0,0
"A_23_P100478",0,0
"A_23_P100486",0,0
"A_23_P100499",0,0
"A_23_P100501",0,0
"A_23_P100517",0,0
"A_23_P100522",0,0
"A_23_P100539",0,0
"A_23_P100556",0,0
"A_23_P100576",0,0
"A_23_P100583",0,0
"A_23_P100595",0,0
"A_23_P10060",0,0
"A_23_P100602",0,0
"A_23_P10062",0,0
"A_23_P100632",0,0
"A_23_P100642",0,0
"A_23_P100654",0,0
"A_23_P100660",0,0
"A_23_P100676",0,0
"A_23_P100693",0,0
"A_23_P100704",0,0
"A_23_P100711",0,0
"A_23_P100730",0,0
"A_23_P100754",0,0
"A_23_P100764",0,0
"A_23_P10077",0,0
"A_23_P100779",0,0
"A_23_P100788",0,0
"A_23_P100795",0,0
"A_23_P100802",0,0
"A_23_P10081",0,0
"A_23_P100868",0,0
"A_23_P100872",0,0
"A_23_P100883",0,0
"A_23_P10091",0,0
"A_23_P100912",0,0
"A_23_P100931",0,0
"A_23_P100935",0,0
"A_23_P100959",0,0
"A_23_P100963",0,0
"A_23_P100990",0,0
"A_23_P100991",0,0
"A_23_P101007",0,0
"A_23_P101013",0,0
"A_23_P101025",0,0
"A_23_P101038",0,0
"A_23_P101048",0,0
"A_23_P101054",0,0
"A_23_P101073",0,0
"A_23_P101084",0,0
"A_23_P101093",0,0
"A_23_P101111",0,0
"A_23_P101121",0,0
"A_23_P101131",0,0
"A_23_P101141",0,0
"A_23_P101185",0,0
"A_23_P101193",0,0
"A_23_P101208",0,0
"A_23_P10121",0,0
"A_23_P101237",0,0
"A_23_P101240",0,0
"A_23_P101246",0,0
"A_23_P101253",0,0
"A_23_P101258",0,0
"A_23_P10127",0,0
"A_23_P101272",0,0
"A_23_P101281",0,0
"A_23_P101297",0,0
"A_23_P101303",0,0
"A_23_P101308",0,0
"A_23_P101319",0,0
"A_23_P101321",0,0
"A_23_P101332",0,0
"A_23_P101342",0,0
"A_23_P10135",0,0
"A_23_P101351",0,0
"A_23_P101374",0,0
"A_23_P101380",0,0
"A_23_P101392",0,0
"A_23_P1014",0,1
"A_23_P101407",0,0
"A_23_P101427",0,0
"A_23_P101434",0,0
"A_23_P101461",0,0
"A_23_P101476",0,0
"A_23_P101480",0,0
"A_23_P101505",0,0
"A_23_P101516",0,0
"A_23_P101521",0,0
"A_23_P101532",0,0
"A_23_P101551",0,0
"A_23_P10156",0,0
"A_23_P101564",0,0
"A_23_P101573",0,0
"A_23_P101615",0,0
"A_23_P101623",0,0
"A_23_P101636",0,0
"A_23_P101642",0,0
"A_23_P101655",0,0
"A_23_P101671",0,0
"A_23_P101683",0,0
"A_23_P101699",0,0
"A_23_P101707",0,0
"A_23_P10172",0,0
"A_23_P101737",0,0
"A_23_P101742",0,0
"A_23_P101759",0,0
"A_23_P101761",0,0
"A_23_P101774",0,0
"A_23_P101783",0,0
"A_23_P101796",0,0
"A_23_P101806",0,0
"A_23_P101811",0,0
"A_23_P10182",0,0
"A_23_P101829",0,0
"A_23_P101871",0,0
"A_23_P101893",0,0
"A_23_P101905",0,0
"A_23_P101908",0,0
"A_23_P10194",0,0
"A_23_P101943",0,0
"A_23_P101950",0,0
"A_23_P101960",0,0
"A_23_P101972",0,0
"A_23_P101992",0,0
"A_23_P102000",0,0
"A_23_P102017",0,0
"A_23_P102037",0,0
"A_23_P102058",0,0
"A_23_P10206",0,0
"A_23_P102060",0,0
"A_23_P102071",0,0
"A_23_P102083",0,0
"A_23_P102109",0,0
"A_23_P10211",0,0
"A_23_P102113",0,0
"A_23_P102117",0,0
"A_23_P102122",0,0
"A_23_P102160",0,0
"A_23_P102172",0,0
"A_23_P102183",0,0
"A_23_P102192",0,0
"A_23_P102202",0,0
"A_23_P102235",1,0
"A_23_P102242",0,0
"A_23_P102258",0,0
"A_23_P102262",0,0
"A_23_P102278",0,0
"A_23_P102286",0,0
"A_23_P10232",0,0
"A_23_P102320",0,0
"A_23_P102331",0,0
"A_23_P102351",0,0
"A_23_P102364",0,0
"A_23_P102391",0,0
"A_23_P102404",0,-1
"A_23_P102412",0,0
"A_23_P102420",0,0
"A_23_P102439",0,0
"A_23_P102454",0,0
"A_23_P102462",0,0
"A_23_P102471",0,0
"A_23_P102481",0,0
"A_23_P102494",0,0
"A_23_P102508",0,0
"A_23_P102517",0,0
"A_23_P102523",0,0
"A_23_P102542",0,0
"A_23_P102551",0,0
"A_23_P102571",0,0
"A_23_P102575",0,0
"A_23_P102582",0,0
"A_23_P102607",0,0
"A_23_P102611",0,0
"A_23_P102622",0,0
"A_23_P102634",0,0
"A_23_P102681",0,0
"A_23_P102694",0,0
"A_23_P102706",0,0
"A_23_P102731",0,0
"A_23_P102743",0,0
"A_23_P102759",0,0
"A_23_P102769",0,0
"A_23_P102770",0,0
"A_23_P102816",0,0
"A_23_P102832",0,0
"A_23_P102842",0,0
"A_23_P102864",0,0
"A_23_P102876",0,0
"A_23_P102884",0,0
"A_23_P102890",0,0
"A_23_P1029",0,0
"A_23_P10291",0,0
"A_23_P102917",0,0
"A_23_P102919",0,0
"A_23_P102925",0,0
"A_23_P102937",0,0
"A_23_P102950",0,0
"A_23_P102965",0,0
"A_23_P102973",0,0
"A_23_P102988",0,0
"A_23_P102994",0,0
"A_23_P103011",0,0
"A_23_P103034",0,0
"A_23_P103041",0,0
"A_23_P10305",0,0
"A_23_P103062",0,0
"A_23_P103070",0,0
"A_23_P103084",0,0
"A_23_P103099",0,0
"A_23_P103104",0,0
"A_23_P103110",0,0
"A_23_P103120",0,0
"A_23_P103131",0,0
"A_23_P103149",-1,-1
"A_23_P103172",0,0
"A_23_P103180",0,0
"A_23_P103201",0,0
"A_23_P103226",0,0
"A_23_P103232",0,0
"A_23_P103248",0,0
"A_23_P103256",0,0
"A_23_P103269",0,0
"A_23_P103276",0,0
"A_23_P103282",0,0
"A_23_P103310",0,0
"A_23_P103315",0,0
"A_23_P103328",0,0
"A_23_P103334",0,0
"A_23_P103349",0,0
"A_23_P103361",0,0
"A_23_P103371",0,0
"A_23_P103398",0,0
"A_23_P103405",0,0
"A_23_P103414",0,0
"A_23_P103424",0,0
"A_23_P103433",0,0
"A_23_P103442",0,0
"A_23_P103454",0,0
"A_23_P103465",0,0
"A_23_P103476",0,0
"A_23_P103486",0,0
"A_23_P103496",0,0
"A_23_P103503",0,0
"A_23_P103511",0,0
"A_23_P103522",0,0
"A_23_P103532",0,0
"A_23_P10356",-1,0
"A_23_P103561",0,0
"A_23_P103571",0,0
"A_23_P103588",0,0
"A_23_P103601",0,0
